16,147,216,138,216,154,17,164
236,142,320,143,319,157,236,155
366,142,490,144,489,158,366,157
578,143,698,143,698,158,578,158
723,145,757,145,757,157,723,157
521,146,538,146,538,158,521,158
236,158,253,158,253,171,236,171
385,162,402,162,402,173,385,173
686,161,720,161,720,173,686,173
553,162,593,162,593,175,553,175
32,180,208,174,209,190,32,195
236,174,377,177,377,191,236,188
552,178,587,178,587,191,552,191
686,178,737,178,737,190,686,190
236,192,271,192,271,205,236,205
237,208,271,208,271,220,237,220
521,210,553,210,553,222,521,222
597,210,646,210,646,222,597,222
701,210,753,210,753,221,701,221
236,222,270,222,270,236,236,236
521,223,562,225,562,239,520,237
597,225,638,225,638,237,597,237
237,238,305,238,305,252,237,252
521,239,562,241,562,254,520,252
596,240,637,240,637,253,596,253
520,256,538,256,538,268,520,268
596,256,637,256,637,268,596,268
701,256,720,256,720,268,701,268
236,271,263,271,263,283,236,283
681,272,706,272,706,285,681,285
236,286,392,286,392,300,236,300
520,287,633,287,633,300,520,300
236,302,422,302,422,316,236,316
520,302,633,302,633,316,520,316
96,306,150,306,150,317,96,317
236,317,392,316,392,331,236,332
35,331,81,331,81,341,35,341
236,333,392,333,392,347,236,347
520,333,576,333,576,346,520,346
236,350,425,350,425,363,236,363
520,349,663,349,663,363,520,363
520,363,601,363,601,377,520,377
651,364,748,365,748,379,651,377
235,367,287,366,287,379,236,381
36,376,82,376,82,387,36,387
336,381,370,381,370,395,336,395
422,381,463,381,463,395,422,395
236,382,268,382,268,396,236,396
234,399,539,394,540,410,235,415
36,406,153,406,153,418,36,418
36,421,146,421,146,432,36,432
66,451,120,453,119,466,65,464
159,453,214,459,213,474,157,468
151,469,216,475,214,489,150,482
